time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-22T10:25:56.892Z,57.0749,-154.6831,35,2.7,ml,,262,0.508,0.35,us,us7000ge74,2022-04-09T20:18:49.040Z,"34 km WNW of Akhiok, Alaska",earthquake,3.8,2,0.057,41,reviewed,us,us
2022-01-22T09:15:51.299Z,52.2897,-167.5688,10,3.1,ml,,225,1.04,0.52,us,us7000gm12,2022-04-09T20:18:49.040Z,"113 km SE of Nikolski, Alaska",earthquake,4.7,2,0.088,17,reviewed,us,us
2022-01-22T08:26:51.546Z,53.1619,-166.7158,34.59,2.5,ml,,222,0.64,0.47,us,us7000glid,2022-04-09T20:18:48.040Z,"80 km S of Unalaska, Alaska",earthquake,4.6,11.8,0.105,12,reviewed,us,us
2022-01-22T07:46:15.445Z,54.5203,-163.2669,10,2.9,ml,,190,0.348,0.54,us,us7000ge8z,2022-04-09T20:18:48.040Z,"38 km SSE of False Pass, Alaska",earthquake,3.9,2,0.101,13,reviewed,us,us
2022-01-22T07:30:47.761Z,53.2118,-166.7007,35,2.7,ml,,218,0.592,0.6,us,us7000glic,2022-04-09T20:18:48.040Z,"74 km S of Unalaska, Alaska",earthquake,2.5,2,0.097,14,reviewed,us,us
2022-01-22T07:21:01.473Z,53.0996,-166.7639,25.77,2.5,ml,,225,0.698,0.28,us,us7000glib,2022-04-09T20:18:48.040Z,"87 km S of Unalaska, Alaska",earthquake,4,12.2,0.128,8,reviewed,us,us
2022-01-22T07:14:29.447Z,53.1699,-166.6877,35,3,ml,,211,0.635,0.55,us,us7000glia,2022-04-09T20:18:48.040Z,"79 km S of Unalaska, Alaska",earthquake,4.4,2,0.115,10,reviewed,us,us
2022-01-22T06:24:25.501Z,53.1847,-166.6804,35,2.6,ml,,241,0.621,0.43,us,us7000gli9,2022-04-09T20:18:48.040Z,"77 km S of Unalaska, Alaska",earthquake,3.8,2,0.128,8,reviewed,us,us
2022-01-22T06:21:18.623Z,53.2024,-166.6712,31.7,3.4,mb,,203,0.605,0.63,us,us7000gfyb,2022-06-23T20:24:45.031Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,3.1,8.2,0.164,9,reviewed,us,us
2022-01-22T05:56:03.871Z,53.1713,-166.6686,33.65,2.7,ml,,220,0.636,0.39,us,us7000gli8,2022-04-09T20:18:48.040Z,"78 km S of Unalaska, Alaska",earthquake,4.3,3.9,0.115,10,reviewed,us,us
2022-01-22T05:43:57.246Z,53.2518,-166.8086,35,2.6,ml,,214,0.544,0.5,us,us7000gli6,2022-04-09T20:18:47.040Z,"71 km SSW of Unalaska, Alaska",earthquake,4.8,2,0.105,12,reviewed,us,us
2022-01-22T05:38:48.368Z,53.1806,-166.7415,28.2,3.9,mb,,166,0.619,0.8,us,us7000ge67,2022-04-09T20:18:47.040Z,"78 km S of Unalaska, Alaska",earthquake,4,7.6,0.092,31,reviewed,us,us
2022-01-22T05:30:51.237Z,53.2329,-166.7739,35,3,ml,,216,0.565,0.87,us,us7000gli4,2022-04-09T20:18:47.040Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,3.8,2,0.105,12,reviewed,us,us
2022-01-22T05:27:06.551Z,53.2107,-166.7116,35,2.9,ml,,208,0.592,0.59,us,us7000gli3,2022-04-09T20:18:47.040Z,"74 km S of Unalaska, Alaska",earthquake,3.9,2,0.115,10,reviewed,us,us
2022-01-22T05:23:50.318Z,53.1591,-166.7219,35,3.4,ml,,205,0.642,0.63,us,us7000gli2,2022-04-09T20:18:47.040Z,"80 km S of Unalaska, Alaska",earthquake,3.6,2,0.091,16,reviewed,us,us
2022-01-22T05:19:05.208Z,53.221,-166.8158,35,4.6,ml,,214,0.575,0.65,us,us7000ge64,2022-04-09T20:18:47.040Z,"75 km SSW of Unalaska, Alaska",earthquake,4.6,2,0.105,12,reviewed,us,us
2022-01-22T05:17:04.896Z,53.2402,-166.682,29,6.2,mww,,95,0.566,0.94,us,us7000ge5q,2024-01-08T04:32:06.084Z,"71 km S of Unalaska, Alaska",earthquake,4.7,1.9,0.038,68,reviewed,us,us
2022-01-21T18:41:34.938Z,56.5317,-156.064,42.2,2.7,ml,,,,0.46,ak,ak022z18yb9,2022-04-01T17:40:41.040Z,"124 km WSW of Akhiok, Alaska",earthquake,,2.9,,,reviewed,ak,ak
